,general,expert
97,hive,"{'Input and Output,0.67', 'Database,0.73', 'Test,0.62', 'Data Structure,0.69', 'Data Structure,0.45', 'Data Structure,0.31', 'Setup,0.57', 'Parser,0.29', 'Data Structure,0.71', 'Data Structure,0.42', 'Data Structure,0.3', 'Multi Thread,0.37', 'Error Handling,0.49', 'User Interface,0.66', 'Setup,0.46', 'Setup,0.32', 'Software Development and IT Operations,0.48', 'Big Data,0.58', 'Test,0.57', 'Security,0.47', 'Database,0.58', 'Multi Thread,0.46', 'Setup,0.53', 'User Interface,0.53', 'Software Development and IT Operations,0.46', 'Test,0.69', 'Setup,0.47', 'Test,0.74', 'Error Handling,0.55', 'Data Structure,0.57', 'Database,0.55', 'Big Data,0.47', 'Parser,0.47', 'Error Handling,0.4', 'Database,0.5', 'Big Data,0.41', 'Error Handling,0.41', 'Multi Thread,0.25', 'Test,0.53', 'Software Development and IT Operations,0.54', 'Setup,0.56', 'Software Development and IT Operations,0.69', 'Software Development and IT Operations,0.71', 'User Interface,0.61', 'User Interface,0.74', 'Cloud,0.33', 'Data Structure,0.65', 'Natural Language Processing,0.36', 'Database,0.79', 'Setup,0.49', 'User Interface,0.6', 'Setup,0.59', 'Error Handling,0.56', 'Software Development and IT Operations,0.62', 'Error Handling,0.54', 'Software Development and IT Operations,0.51', 'Big Data,0.57', 'Error Handling,0.53', 'Database,0.42', 'Data Structure,0.38', 'Setup,0.51', 'User Interface,0.59', 'Data Structure,0.55', 'Error Handling,0.57', 'Software Development and IT Operations,0.43', 'Data Structure,0.67', 'Setup,0.29', 'Error Handling,0.34', 'Setup,0.61', 'Parser,0.45', 'Big Data,0.38', 'Data Structure,0.49', 'Database,0.57', 'Big Data,0.44', 'Parser,0.69', 'Test,0.51', 'Database,0.53', 'Software Development and IT Operations,0.61', 'Error Handling,0.47', 'Big Data,0.68', 'User Interface,0.56', 'Setup,0.43', 'Security,0.55', 'Input and Output,0.61', 'Data Structure,0.41', 'Data Structure,0.47', 'Database,0.74', 'Machine Learning,0.44', 'Input and Output,0.74', 'Setup,0.45', 'Data Structure,0.4', 'Big Data,0.48', 'User Interface,0.63', 'Data Structure,0.72', 'Database,0.6', 'Error Handling,0.38', 'Natural Language Processing,0.48', 'Data Structure,0.6', 'Setup,0.5', 'Error Handling,0.52', 'Software Development and IT Operations,0.55', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.5', 'Error Handling,0.7', 'Big Data,0.51', 'Database,0.71', 'Setup,0.37', 'Test,0.67', 'Data Structure,0.78', 'Machine Learning,0.38', 'User Interface,0.62', 'Data Structure,0.39', 'Test,0.66', 'Multi Thread,0.43', 'Data Structure,0.68', 'Data Structure,0.56', 'Parser,0.35', 'Data Structure,0.53', 'Parser,0.51', 'User Interface,0.72', 'Test,0.56', 'Big Data,0.56', 'Geographic Information System ,0.63', 'Input and Output,0.49', 'Data Structure,0.61', 'Software Development and IT Operations,0.64', 'Multi Thread,0.38', 'Test,0.64', 'Test,0.52', 'Data Structure,0.66', 'Error Handling,0.44', 'Big Data,0.5', 'Big Data,0.54', 'Big Data,0.45', 'Big Data,0.55', 'Parser,0.44', 'Error Handling,0.5', 'Database,0.59', 'Parser,0.16', 'Big Data,0.46', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'Setup,0.39', 'User Interface,0.5', 'Parser,0.43', 'User Interface,0.45', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.53', 'Event Handling,0.55', 'Machine Learning,0.37', 'Test,0.65', 'Geographic Information System ,0.4', 'Multi Thread,0.4', 'Data Structure,0.54', 'Data Structure,0.48', 'Parser,0.41', 'Setup,0.33', 'Setup,0.26', 'Setup,0.58', 'Test,0.76', 'Software Development and IT Operations,0.39', 'Setup,0.48', 'Database,0.66', 'Input and Output,0.57', 'Big Data,0.63', 'Data Structure,0.36', 'Setup,0.35', 'Input and Output,0.6', 'Data Structure,0.44', 'Machine Learning,0.4', 'Setup,0.42', 'Data Structure,0.37', 'Data Structure,0.46', 'User Interface,0.47', 'Event Handling,0.56', 'User Interface,0.7', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.45', 'Software Development and IT Operations,0.67', 'Multi Thread,0.41', 'Error Handling,0.51', 'Software Development and IT Operations,0.36', 'Software Development and IT Operations,0.37', 'Multi Thread,0.36', 'Data Structure,0.63', 'Big Data,0.53', 'Parser,0.54', 'Parser,0.34', 'Big Data,0.35', 'Natural Language Processing,0.4', 'Security,0.69', 'Setup,0.54', 'Data Structure,0.52', 'Setup,0.41', 'Setup,0.52', 'Software Development and IT Operations,0.38', 'Setup,0.38', 'Database,0.4', 'Setup,0.44', 'Application Performance Manager,0.44', 'Data Structure,0.64', 'Database,0.49', 'Security,0.54', 'Machine Learning,0.48', 'Data Structure,0.28', 'User Interface,0.51', 'Application Performance Manager,0.52', 'Data Structure,0.29', 'Data Structure,0.51', 'Database,0.37', 'Multi Thread,0.3', 'Data Structure,0.32', 'Data Structure,0.75', 'Software Development and IT Operations,0.47', 'Big Data,0.52', 'Cloud,0.25', 'Data Structure,0.5', 'Application Performance Manager,0.45', 'Security,0.76', 'Software Development and IT Operations,0.44', 'Software Development and IT Operations,0.49', 'Software Development and IT Operations,0.56', 'Data Structure,0.58', 'Data Structure,0.43', 'Software Development and IT Operations,0.41', 'Input and Output,0.46', 'Geographic Information System ,0.73', 'Data Structure,0.59', 'Multi Thread,0.42', 'Setup,0.34', 'Test,0.63', 'Setup,0.4', 'Big Data,0.59', 'Setup,0.28', 'Data Structure,0.35'}"
98,http,"{'Network,0.38', 'Geographic Information System ,0.44', 'Network,0.57', 'Data Structure,0.55', 'Multi Thread,0.36', 'Big Data,0.5', 'Parser,0.48', 'Geographic Information System ,0.46', 'User Interface,0.5', 'Database,0.4', 'Data Structure,0.64', 'Geographic Information System ,0.56', 'User Interface,0.63', 'Search,0.39', 'User Interface,0.49', 'Error Handling,0.58', 'User Interface,0.36', 'User Interface,0.6', 'Parser,0.49'}"
99,hudi,"{'Input and Output,0.49', 'Big Data,0.56', 'Input and Output,0.62'}"
100,iceberg,"{'Error Handling,0.53', 'Input and Output,0.67', 'Language,0.51', 'Data Structure,0.45', 'Data Structure,0.38', 'Data Structure,0.55', 'Geographic Information System ,0.52', 'Input and Output,0.53', 'Data Structure,0.66', 'Data Structure,0.67', 'Data Structure,0.63', 'Big Data,0.53', 'Big Data,0.5', 'Cloud,0.31', 'Data Structure,0.73', 'Big Data,0.55', 'Big Data,0.38', 'Utility,0.22', 'Data Structure,0.49', 'Big Data,0.49', 'Data Structure,0.42', 'Parser,0.38', 'Data Structure,0.52', 'Input and Output,0.72', 'Parser,0.61', 'Data Structure,0.62', 'Big Data,0.58', 'Software Development and IT Operations,0.58', 'Parser,0.57', 'Database,0.55', 'Data Structure,0.57', 'Big Data,0.47', 'Input and Output,0.66', 'Cloud,0.29', 'Error Handling,0.4', 'Data Structure,0.4', 'Big Data,0.48', 'Big Data,0.41', 'Cloud,0.21', 'Data Structure,0.51', 'Data Structure,0.48', 'Data Structure,0.6', 'Data Structure,0.54', 'Big Data,0.67', 'Input and Output,0.56', 'Big Data,0.52', 'Parser,0.72', 'Input and Output,0.57', 'Big Data,0.63', 'Parser,0.6', 'Geographic Information System ,0.57', 'Big Data,0.66', 'Natural Language Processing,0.52', 'Data Structure,0.33', 'Data Structure,0.58', 'Error Handling,0.6', 'Big Data,0.43', 'Error Handling,0.45', 'Data Structure,0.59', 'Data Structure,0.56', 'Parser,0.51', 'Data Structure,0.53', 'Data Structure,0.68', 'Software Development and IT Operations,0.6', 'Error Handling,0.56', 'Big Data,0.59'}"
101,ietf,"{'Data Structure,0.39', 'Error Handling,0.4', 'User Interface,0.31', 'Security,0.28', 'Software Development and IT Operations,0.46', 'Network,0.6', 'Application Performance Manager,0.5', 'User Interface,0.45', 'User Interface,0.61', 'Parser,0.29'}"
102,impl,"{'User Interface,0.33', 'Parser,0.53'}"
103,index,"{'Data Structure,0.59', 'Data Structure,0.53'}"
104,info,"{'Search,0.19'}"
105,inject,"{'Test,0.3', 'Utility,0.43', 'Test,0.33', 'Geographic Information System ,0.43', 'Parser,0.34', 'Data Structure,0.49', 'Data Structure,0.52', 'User Interface,0.42', 'Natural Language Processing,0.45', 'Error Handling,0.55', 'Test,0.32', 'Test,0.29', 'Multi Thread,0.55', 'Data Structure,0.32', 'Multi Thread,0.56', 'Software Development and IT Operations,0.39', 'Software Development and IT Operations,0.34', 'User Interface,0.49', 'Software Development and IT Operations,0.44', 'Software Development and IT Operations,0.67', 'Data Structure,0.44', 'User Interface,0.47', 'Data Structure,0.46', 'Big Data,0.31', 'Software Development and IT Operations,0.45', 'Software Development and IT Operations,0.51'}"
106,intellij,"{'Language,0.6'}"
107,internal,"{'Test,0.62', 'Software Development and IT Operations,0.74', 'Data Structure,0.69', 'Input and Output,0.58', 'Parser,0.36', 'Input and Output,0.53', 'Parser,0.46', 'Big Data,0.61', 'Error Handling,0.49', 'Software Development and IT Operations,0.68', 'Software Development and IT Operations,0.48', 'Error Handling,0.46', 'User Interface,0.53', 'Test,0.69', 'Input and Output,0.52', 'Test,0.74', 'Error Handling,0.55', 'Data Structure,0.57', 'Application Performance Manager,0.46', 'Software Development and IT Operations,0.7', 'Software Development and IT Operations,0.71', 'Software Development and IT Operations,0.69', 'User Interface,0.74', 'Error Handling,0.58', 'Data Structure,0.65', 'Software Development and IT Operations,0.72', 'User Interface,0.6', 'Setup,0.59', 'Error Handling,0.56', 'Parser,0.56', 'Software Development and IT Operations,0.62', 'Error Handling,0.54', 'Software Development and IT Operations,0.51', 'Big Data,0.57', 'Software Development and IT Operations,0.66', 'Data Structure,0.77', 'Test,0.73', 'Data Structure,0.55', 'Error Handling,0.57', 'Multi Thread,0.61', 'Data Structure,0.67', 'Data Structure,0.73', 'User Interface,0.57', 'Data Structure,0.49', 'Big Data,0.44', 'Parser,0.38', 'Input and Output,0.45', 'Error Handling,0.59', 'Software Development and IT Operations,0.52', 'Logic,0.53', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Error Handling,0.47', 'User Interface,0.55', 'Error Handling,0.62', 'Big Data,0.7', 'User Interface,0.63', 'Data Structure,0.72', 'Error Handling,0.38', 'Data Structure,0.6', 'Input and Output,0.62', 'Error Handling,0.52', 'Software Development and IT Operations,0.59', 'Natural Language Processing,0.63', 'Test,0.67', 'Utility,0.46', 'User Interface,0.62', 'User Interface,0.67', 'Test,0.61', 'Error Handling,0.6', 'Test,0.66', 'Software Development and IT Operations,0.65', 'Test,0.58', 'User Interface,0.72', 'Data Structure,0.68', 'Parser,0.35', 'Data Structure,0.53', 'Error Handling,0.43', 'Test,0.56', 'Software Development and IT Operations,0.73', 'Utility,0.43', 'Input and Output,0.55', 'Input and Output,0.49', 'Data Structure,0.61', 'Application Performance Manager,0.54', 'Software Development and IT Operations,0.64', 'Test,0.64', 'Data Structure,0.66', 'Big Data,0.54', 'User Interface,0.44', 'Error Handling,0.5', 'Parser,0.5', 'Parser,0.61', 'Error Handling,0.67', 'Error Handling,0.63', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'User Interface,0.64', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.53', 'Test,0.65', 'Natural Language Processing,0.47', 'Error Handling,0.74', 'Data Structure,0.54', 'Data Structure,0.7', 'Input and Output,0.56', 'Application Performance Manager,0.71', 'Input and Output,0.54', 'Input and Output,0.6', 'Error Handling,0.45', 'Logic,0.65', 'Parser,0.49', 'Software Development and IT Operations,0.6', 'User Interface,0.7', 'Error Handling,0.42', 'Software Development and IT Operations,0.67', 'Error Handling,0.64', 'Input and Output,0.51', 'Test,0.68', 'Application Performance Manager,0.49', 'Data Structure,0.63', 'Logic,0.44', 'User Interface,0.69', 'Parser,0.53', 'Data Structure,0.52', 'Test,0.71', 'Input and Output,0.43', 'Data Structure,0.64', 'Event Handling,0.45', 'Test,0.6', 'Logic,0.5', 'Data Structure,0.51', 'Error Handling,0.48', 'Software Development and IT Operations,0.47', 'Data Structure,0.5', 'Software Development and IT Operations,0.56', 'Data Structure,0.58', 'Data Structure,0.59', 'Data Structure,0.75', 'Big Data,0.59'}"
108,invocation,"{'Interpreter,0.42', 'Interpreter,0.4', 'Interpreter,0.41', 'Interpreter,0.49', 'Event Handling,0.46', 'Parser,0.45', 'Error Handling,0.42'}"
109,io,"{'Input and Output,0.28', 'Input and Output,0.59', 'Input and Output,0.67', 'Test,0.62', 'Input and Output,0.41', 'Data Structure,0.69', 'Data Structure,0.45', 'Software Development and IT Operations,0.32', 'Parser,0.36', 'Geographic Information System ,0.52', 'Input and Output,0.53', 'Test,0.7', 'Multi Thread,0.26', 'Input and Output,0.34', 'Geographic Information System ,0.47', 'Data Structure,0.42', 'Multi Thread,0.37', 'Error Handling,0.49', 'Input and Output,0.68', 'Input and Output,0.47', 'Multi Thread,0.46', 'Software Development and IT Operations,0.48', 'Big Data,0.58', 'Error Handling,0.46', 'Test,0.69', 'User Interface,0.53', 'Software Development and IT Operations,0.46', 'Input and Output,0.52', 'Application Performance Manager,0.53', 'Parser,0.37', 'Interpreter,0.3', 'Error Handling,0.55', 'Data Structure,0.57', 'Big Data,0.47', 'Application Performance Manager,0.46', 'Application,0.41', 'Database,0.51', 'Error Handling,0.69', 'Multi Thread,0.32', 'Error Handling,0.4', 'Database,0.5', 'Big Data,0.41', 'Logic,0.42', 'Error Handling,0.41', 'Parser,0.28', 'Software Development and IT Operations,0.54', 'User Interface,0.61', 'Software Development and IT Operations,0.34', 'Application Performance Manager,0.4', 'Input and Output,0.48', 'Application Performance Manager,0.35', 'Interpreter,0.44', 'Input and Output,0.23', 'User Interface,0.43', 'Big Data,0.36', 'User Interface,0.46', 'User Interface,0.6', 'Big Data,0.43', 'Error Handling,0.73', 'Big Data,0.24', 'Error Handling,0.56', 'Interpreter,0.28', 'Application Performance Manager,0.32', 'Software Development and IT Operations,0.62', 'Multi Thread,0.35', 'Software Development and IT Operations,0.51', 'Error Handling,0.53', 'Error Handling,0.3', 'Error Handling,0.61', 'Big Data,0.57', 'Test,0.73', 'Data Structure,0.55', 'Error Handling,0.57', 'User Interface,0.59', 'Parser,0.45', 'Input and Output,0.63', 'Internationalization,0.22', 'Input and Output,0.29', 'Error Handling,0.37', 'Big Data,0.38', 'Data Structure,0.49', 'User Interface,0.57', 'Big Data,0.44', 'Error Handling,0.59', 'Software Development and IT Operations,0.52', 'Software Development and IT Operations,0.61', 'Error Handling,0.47', 'Application,0.45', 'User Interface,0.56', 'Setup,0.43', 'Software Development and IT Operations,0.63', 'User Interface,0.55', 'Input and Output,0.61', 'User Interface,0.58', 'Input and Output,0.44', 'Data Structure,0.41', 'Data Structure,0.47', 'Input and Output,0.64', 'Error Handling,0.62', 'Parser,0.4', 'Cloud,0.36', 'Big Data,0.37', 'Test,0.55', 'Multi Thread,0.44', 'Data Structure,0.4', 'Big Data,0.48', 'Multi Thread,0.53', 'Error Handling,0.38', 'Data Structure,0.6', 'Natural Language Processing,0.48', 'Input and Output,0.62', 'Software Development and IT Operations,0.55', 'Logic,0.47', 'Input and Output,0.31', 'Software Development and IT Operations,0.5', 'Big Data,0.51', 'Error Handling,0.52', 'Software Development and IT Operations,0.59', 'User Interface,0.49', 'Input and Output,0.33', 'User Interface,0.36', 'User Interface,0.62', 'Data Structure,0.39', 'Parser,0.66', 'Error Handling,0.65', 'Test,0.61', 'Test,0.66', 'Multi Thread,0.43', 'Software Development and IT Operations,0.65', 'Input and Output,0.65', 'Interpreter,0.29', 'Test,0.58', 'Data Structure,0.56', 'Data Structure,0.53', 'Error Handling,0.43', 'Error Handling,0.36', 'Input and Output,0.42', 'Input and Output,0.78', 'Big Data,0.56', 'Input and Output,0.26', 'Language,0.36', 'Input and Output,0.55', 'Application Performance Manager,0.54', 'Input and Output,0.49', 'User Interface,0.41', 'Software Development and IT Operations,0.64', 'Test,0.64', 'Geographic Information System ,0.37', 'Multi Thread,0.38', 'Error Handling,0.44', 'Error Handling,0.68', 'Big Data,0.54', 'User Interface,0.44', 'Big Data,0.5', 'Big Data,0.45', 'Parser,0.19', 'Big Data,0.55', 'Parser,0.44', 'Database,0.47', 'User Interface,0.48', 'Error Handling,0.5', 'Parser,0.5', 'Error Handling,0.32', 'Application Performance Manager,0.57', 'Parser,0.16', 'Input and Output,0.39', 'Big Data,0.46', 'Error Handling,0.67', 'User Interface,0.34', 'Software Development and IT Operations,0.57', 'Big Data,0.34', 'Error Handling,0.39', 'Big Data,0.65', 'Multi Thread,0.66', 'Multi Thread,0.47', 'User Interface,0.5', 'Input and Output,0.4', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.53', 'Multi Thread,0.2', 'Application Performance Manager,0.28', 'Multi Thread,0.34', 'User Interface,0.39', 'User Interface,0.54', 'Test,0.65', 'Big Data,0.33', 'Multi Thread,0.4', 'Data Structure,0.48', 'Application Performance Manager,0.59', 'Multi Thread,0.58', 'Data Structure,0.54', 'User Interface,0.35', 'Parser,0.41', 'Setup,0.33', 'Multi Thread,0.24', 'Geographic Information System ,0.31', 'Software Development and IT Operations,0.39', 'Database,0.66', 'Event Handling,0.58', 'Input and Output,0.57', 'Input and Output,0.54', 'Setup,0.23', 'Input and Output,0.6', 'Data Structure,0.44', 'Interpreter,0.35', 'Data Structure,0.37', 'Data Structure,0.46', 'User Interface,0.47', 'Error Handling,0.45', 'Error Handling,0.35', 'Logic,0.34', 'Multi Thread,0.28', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.45', 'User Interface,0.38', 'Error Handling,0.42', 'Big Data,0.29', 'Multi Thread,0.41', 'Error Handling,0.51', 'Error Handling,0.64', 'Data Structure,0.34', 'Multi Thread,0.5', 'Logic,0.37', 'Input and Output,0.5', 'Big Data,0.62', 'User Interface,0.4', 'Input and Output,0.51', 'Multi Thread,0.36', 'Test,0.68', 'Application Performance Manager,0.49', 'Big Data,0.53', 'Database,0.46', 'Logic,0.44', 'User Interface,0.33', 'Interpreter,0.24', 'Parser,0.34', 'Big Data,0.35', 'Software Development and IT Operations,0.31', 'Big Data,0.49', 'Parser,0.53', 'Data Structure,0.52', 'Application Performance Manager,0.48', 'Error Handling,0.33', 'Database,0.61', 'Software Development and IT Operations,0.38', 'Setup,0.38', 'User Interface,0.42', 'Input and Output,0.43', 'Input and Output,0.66', 'User Interface,0.51', 'Application Performance Manager,0.52', 'Internationalization,0.24', 'Data Structure,0.29', 'Parser,0.39', 'Input and Output,0.37', 'Multi Thread,0.3', 'Data Structure,0.51', 'Interpreter,0.22', 'Data Structure,0.32', 'Error Handling,0.48', 'Multi Thread,0.56', 'Big Data,0.52', 'Data Structure,0.5', 'Application Performance Manager,0.36', 'Big Data,0.66', 'Software Development and IT Operations,0.49', 'Software Development and IT Operations,0.44', 'Error Handling,0.31', 'Software Development and IT Operations,0.56', 'Software Development and IT Operations,0.41', 'Parser,0.27', 'Input and Output,0.32', 'User Interface,0.52', 'Multi Thread,0.65', 'Input and Output,0.46', 'Data Structure,0.58', 'Geographic Information System ,0.42', 'Database,0.52', 'Data Structure,0.43', 'Data Structure,0.75', 'User Interface,0.45', 'Data Structure,0.59', 'Application Performance Manager,0.47', 'Input and Output,0.36', 'Big Data,0.64'}"
110,it,"{'Big Data,0.57', 'Input and Output,0.59', 'Big Data,0.62', 'Software Development and IT Operations,0.64', 'Input and Output,0.51', 'Data Structure,0.55', 'Input and Output,0.53', 'Data Structure,0.67', 'Big Data,0.53', 'Big Data,0.45', 'Input and Output,0.63', 'Big Data,0.55', 'Big Data,0.49', 'Big Data,0.61', 'Data Structure,0.62', 'Big Data,0.65', 'Software Development and IT Operations,0.52', 'Big Data,0.58', 'Software Development and IT Operations,0.63', 'Software Development and IT Operations,0.58', 'Data Structure,0.6', 'Big Data,0.67', 'Big Data,0.63', 'Big Data,0.66', 'Big Data,0.6', 'Software Development and IT Operations,0.75', 'Software Development and IT Operations,0.65', 'Software Development and IT Operations,0.62', 'Big Data,0.64', 'Big Data,0.59'}"
111,j2objc,"{'Data Structure,0.42', 'Data Structure,0.45', 'Data Structure,0.54', 'Data Structure,0.53', 'Data Structure,0.57'}"
112,javafx,"{'Database,0.48', 'Data Structure,0.45', 'Software Development and IT Operations,0.32', 'Application,0.43', 'Parser,0.46', 'Parser,0.29', 'Big Data,0.32', 'Setup,0.46', 'Natural Language Processing,0.3', 'User Interface,0.53', 'Application Performance Manager,0.41', 'Software Development and IT Operations,0.46', 'Parser,0.37', 'Parser,0.47', 'Application,0.31', 'Application,0.41', 'Database,0.51', 'Software Development and IT Operations,0.42', 'Natural Language Processing,0.31', 'Parser,0.52', 'Big Data,0.41', 'Database,0.5', 'Natural Language Processing,0.42', 'Parser,0.28', 'Database,0.45', 'Software Development and IT Operations,0.54', 'Natural Language Processing,0.35', 'Application Performance Manager,0.4', 'Application Performance Manager,0.35', 'Natural Language Processing,0.52', 'Data Structure,0.33', 'Natural Language Processing,0.36', 'User Interface,0.43', 'User Interface,0.46', 'Input and Output,0.7', 'Big Data,0.43', 'Big Data,0.4', 'Event Handling,0.71', 'Big Data,0.24', 'Natural Language Processing,0.54', 'Software Development and IT Operations,0.51', 'Big Data,0.57', 'Event Handling,0.72', 'Application,0.7', 'Parser,0.42', 'Software Development and IT Operations,0.43', 'Setup,0.29', 'Search,0.44', 'Data Structure,0.49', 'Logic,0.33', 'Parser,0.38', 'Software Development and IT Operations,0.52', 'Database,0.53', 'Search,0.48', 'Application Performance Manager,0.5', 'Language,0.29', 'Data Structure,0.41', 'User Interface,0.28', 'Parser,0.57', 'Data Structure,0.47', 'Application,0.86', 'Parser,0.4', 'Big Data,0.37', 'Setup,0.45', 'Data Structure,0.4', 'Cloud,0.26', 'Big Data,0.48', 'Cloud,0.21', 'Natural Language Processing,0.48', 'Software Development and IT Operations,0.5', 'Software Development and IT Operations,0.4', 'Setup,0.37', 'User Interface,0.36', 'Data Structure,0.39', 'Application Performance Manager,0.27', 'Big Data,0.39', 'Parser,0.35', 'Parser,0.51', 'Natural Language Processing,0.43', 'Cloud,0.23', 'Big Data,0.56', 'User Interface,0.41', 'Event Handling,0.54', 'Natural Language Processing,0.51', 'Big Data,0.5', 'User Interface,0.44', 'Big Data,0.45', 'Application Performance Manager,0.33', 'Parser,0.44', 'Cloud,0.32', 'User Interface,0.48', 'Parser,0.33', 'Natural Language Processing,0.32', 'Application Performance Manager,0.42', 'Natural Language Processing,0.23', 'User Interface,0.34', 'Software Development and IT Operations,0.33', 'Big Data,0.34', 'Event Handling,0.66', 'Parser,0.43', 'Natural Language Processing,0.5', 'Software Development and IT Operations,0.53', 'Application,0.28', 'User Interface,0.39', 'Application,0.36', 'Natural Language Processing,0.47', 'User Interface,0.29', 'Data Structure,0.48', 'Database,0.34', 'User Interface,0.35', 'Parser,0.41', 'Application Performance Manager,0.31', 'Setup,0.26', 'Event Handling,0.58', 'Setup,0.48', 'Language,0.4', 'Data Structure,0.36', 'Application Performance Manager,0.38', 'Input and Output,0.6', 'Data Structure,0.44', 'User Interface,0.47', 'Data Structure,0.46', 'Language,0.34', 'Application Performance Manager,0.37', 'Big Data,0.25', 'Event Handling,0.56', 'Software Development and IT Operations,0.45', 'User Interface,0.38', 'User Interface,0.3', 'Data Structure,0.34', 'Software Development and IT Operations,0.36', 'Software Development and IT Operations,0.37', 'Natural Language Processing,0.46', 'Cloud,0.31', 'Big Data,0.53', 'User Interface,0.33', 'Parser,0.34', 'Natural Language Processing,0.39', 'Software Development and IT Operations,0.31', 'Parser,0.53', 'Application Performance Manager,0.48', 'Event Handling,0.52', 'Natural Language Processing,0.41', 'Software Development and IT Operations,0.38', 'Cloud,0.28', 'User Interface,0.42', 'Application Performance Manager,0.44', 'Data Structure,0.64', 'Parser,0.3', 'Input and Output,0.66', 'Internationalization,0.24', 'Parser,0.39', 'Natural Language Processing,0.38', 'Data Structure,0.51', 'Application,0.32', 'Big Data,0.42', 'Software Development and IT Operations,0.49', 'Natural Language Processing,0.33', 'Software Development and IT Operations,0.56', 'Data Structure,0.58', 'Data Structure,0.43', 'Parser,0.27', 'Software Development and IT Operations,0.41', 'Data Structure,0.59', 'Application Performance Manager,0.47', 'User Interface,0.45', 'Big Data,0.59'}"
